flight_id,airline,flight_number,departure_airport_iata,departure_airport_city,arrival_airport_iata,arrival_airport_city,scheduled_departure,departure_delay_minutes,scheduled_arrival,arrival_delay_minutes
0,UA,1532,SFO,San Francisco,DEN,Denver,2025-01-01 05:50:00,26,2025-01-01 09:23:00,0
1,UA,1158,SFO,San Francisco,ORD,Chicago,2025-01-01 05:57:00,0,2025-01-01 12:13:00,0
2,F9,1057,IAH,Houston,SFO,San Francisco,2025-01-01 05:52:00,27,2025-01-01 08:14:00,3
3,OO,6403,MFR,Medford,SFO,San Francisco,2025-01-01 05:57:00,0,2025-01-01 07:23:00,0
4,OO,5628,RNO,Reno,SFO,San Francisco,2025-01-01 06:19:00,0,2025-01-01 07:37:00,0
5,CY,922,SFO,San Francisco,LAX,Los Angeles,2025-01-01 06:38:00,0,2025-01-01 07:49:00,0
6,AA,338,LAX,Los Angeles,SFO,San Francisco,2025-01-01 06:44:00,0,2025-01-01 08:03:00,0
7,UA,1195,MCO,Orlando,SFO,San Francisco,2025-01-01 12:28:00,0,2025-01-01 15:06:00,0
8,OO,5632,SBA,Santa Barbara,SFO,San Francisco,2025-01-01 06:56:00,47,2025-01-01 08:39:00,26
9,UA,300,CLE,Cleveland,SFO,San Francisco,2025-01-01 07:15:00,2,2025-01-01 09:22:00,1
10,UA,706,SEA,Seattle,SFO,San Francisco,2025-01-01 07:14:00,0,2025-01-01 09:07:00,0
11,AA,167,MIA,Miami,SFO,San Francisco,2025-01-01 07:47:00,0,2025-01-01 10:51:00,0
12,OO,5441,SFO,San Francisco,SBP,San Luis Obispo,2025-01-01 07:08:00,58,2025-01-01 08:12:00,6
13,UA,616,SFO,San Francisco,ORD,Chicago,2025-01-01 07:14:00,500,2025-01-01 13:24:00,484
14,AA,24,SFO,San Francisco,JFK,New York,2025-01-01 07:14:00,0,2025-01-01 15:46:00,0
15,UA,72,HNL,Honolulu,SFO,San Francisco,2025-01-01 07:28:00,0,2025-01-01 14:22:00,0
16,AS,244,PDX,Portland,SFO,San Francisco,2025-01-01 07:24:00,0,2025-01-01 09:04:00,0
17,OO,6307,MSP,Minneapolis,SFO,San Francisco,2025-01-01 07:29:00,0,2025-01-01 09:32:00,0
18,OO,4975,STL,St. Louis,SFO,San Francisco,2025-01-01 07:31:00,0,2025-01-01 09:58:00,0
19,AA,23,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-01 08:41:00,58,2025-01-01 10:34:00,14
20,B6,434,SFO,San Francisco,BOS,Boston,2025-01-01 08:00:00,0,2025-01-01 16:23:00,0
21,F9,657,DEN,Denver,SFO,San Francisco,2025-01-01 07:58:00,0,2025-01-01 09:13:00,0
22,OO,6464,COS,Colorado Springs,SFO,San Francisco,2025-01-01 07:56:00,0,2025-01-01 09:45:00,0
23,UA,1235,IAD,Washington,SFO,San Francisco,2025-01-01 08:28:00,0,2025-01-01 11:15:00,0
24,OO,6527,EUG,Eugene,SFO,San Francisco,2025-01-01 07:54:00,0,2025-01-01 09:36:00,0
25,AA,242,SFO,San Francisco,ORD,Chicago,2025-01-01 08:18:00,0,2025-01-01 14:26:00,0
26,UA,1739,SFO,San Francisco,EWR,Newark,2025-01-01 08:22:00,0,2025-01-01 16:42:00,0
27,B6,133,BOS,Boston,SFO,San Francisco,2025-01-01 08:34:00,0,2025-01-01 12:30:00,0
28,OO,6336,SFO,San Francisco,RNO,Reno,2025-01-01 08:32:00,40,2025-01-01 09:29:00,37
29,UA,567,IAD,Washington,SFO,San Francisco,2025-01-01 10:47:00,0,2025-01-01 13:39:00,0
30,OO,5223,SLC,Salt Lake City,SFO,San Francisco,2025-01-01 08:50:00,0,2025-01-01 09:55:00,0
31,US,1784,SFO,San Francisco,CLT,Charlotte,2025-01-01 08:47:00,0,2025-01-01 16:32:00,0
32,WN,1579,ATL,Atlanta,SFO,San Francisco,2025-01-01 08:48:00,132,2025-01-01 10:55:00,75
33,OO,6396,BOI,Boise,SFO,San Francisco,2025-01-01 08:56:00,49,2025-01-01 09:43:00,18
34,AA,2293,DFW,Dallas-Fort Worth,SFO,San Francisco,2025-01-01 08:57:00,0,2025-01-01 11:08:00,0
35,DL,1106,SFO,San Francisco,MSP,Minneapolis,2025-01-01 09:06:00,0,2025-01-01 14:56:00,0
36,DL,1631,SFO,San Francisco,ATL,Atlanta,2025-01-01 09:00:00,29,2025-01-01 16:26:00,14
